status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10158195232536509,"BREAKING: Blane Salamoni, one of the two officers involved in the 2016 fatal shooting of Alton Sterling, has been fired, the Baton Rouge police chief says",Baton Rouge officer who shot Alton Sterling to be fired; videos released,link,https://cnn.it/2pRKskQ,https://www.facebook.com/cnn/posts/10158195232536509,2018-03-30 17:14:21,4570,538,949,3793,379,64,9,56,269
5550296508_10158195196401509,"The Donald J. Trump administration doesn't need Congress to overhaul the US immigration system — it's already doing it through a series of small moves that add up to dramatic change. 

Here are all the moves the administration has made in just one week.",How Trump is quietly rewriting US immigration policy,link,https://cnn.it/2GkS3U9,https://www.facebook.com/cnn/posts/10158195196401509,2018-03-30 17:00:29,1749,301,307,506,82,59,43,58,1001
5550296508_10158195112686509,"""We don't really know what to do. We're just scared of the water and have been for years,"" one resident said","Welcome to Martin County, Kentucky, where the tap water smells like diesel fuel",link,https://cnn.it/2GJaNfi,https://www.facebook.com/cnn/posts/10158195112686509,2018-03-30 16:32:05,5780,753,3304,1505,6,1987,77,1354,851
5550296508_10158194987756509,"""They never said that to any man who was not elected,"" Hillary Clinton said, responding to critics who say she should ""go away"" after losing election to President Donald J. Trump",Hillary Clinton cites sexism in criticism she should exit political stage,link,https://cnn.it/2GoB8Ml,https://www.facebook.com/cnn/posts/10158194987756509,2018-03-30 16:00:14,6614,2203,572,5150,483,69,700,107,105
5550296508_10158194926046509,New footage offers a rare look inside Kim Jong Un's armored train,New footage shows Kim Jong Un holding court inside train,link,https://cnn.it/2Gm6Idz,https://www.facebook.com/cnn/posts/10158194926046509,2018-03-30 15:30:17,1432,181,111,1209,19,78,118,1,7
5550296508_10158194859711509,"Big Pharma should pay the billions it will take to fix the opioid crisis it created, a first-of-its-kind lawsuit says",One state's novel idea to make Big Pharma pay for opioid crisis,link,https://cnn.it/2IdyQQP,https://www.facebook.com/cnn/posts/10158194859711509,2018-03-30 15:00:27,1378,188,223,1173,172,12,20,0,1
5550296508_10158194785031509,"According to a Russian state-run news agency, the missile is ""capable of striking targets both via the North and South Poles""",Russia releases 'Satan 2' missile test footage,link,https://cnn.it/2uv4s2s,https://www.facebook.com/cnn/posts/10158194785031509,2018-03-30 14:30:10,1361,396,424,802,32,237,68,33,189
5550296508_10158194709866509,"After spending 45 years in prison for a crime he didn't commit, Richard Phillips went on a grocery run",This man spent more years behind bars than any other wrongfully imprisoned person in America,link,https://cnn.it/2uziEHr,https://www.facebook.com/cnn/posts/10158194709866509,2018-03-30 14:00:32,7981,416,1747,4013,110,467,12,2491,888
5550296508_10158194624841509,"""To this survivor, and to anyone else on my team who was hurt by my failure to see what was going on in my office, I am so sorry,"" she wrote, adding, ""I must do better.""",Dem congresswoman kept on top aide after learning of abuse allegations,link,https://cnn.it/2GpvLfZ,https://www.facebook.com/cnn/posts/10158194624841509,2018-03-30 13:31:04,536,106,61,297,4,58,15,19,143
5550296508_10158194575126509,"JUST IN: An independent autopsy shows that Stephon Clark was shot by Sacramento police eight times, and six of those wounds were in his back","Stephon Clark was shot by police 8 times -- 6 of them in the back, family attorneys say",link,https://cnn.it/2pUTw8v,https://www.facebook.com/cnn/posts/10158194575126509,2018-03-30 13:16:05,9550,1259,3435,1736,32,354,35,2282,5111
5550296508_10158194532906509,He's a high school algebra teacher in Oklahoma. And a bus driver. And a Little League umpire. And he drives for Uber and Lyft. All because he says his teaching salary isn't enough to support his family.,The many jobs of Oklahoma's teachers,video,https://www.facebook.com/cnn/videos/10158194532906509/,https://www.facebook.com/cnn/videos/10158194532906509/,2018-03-30 13:00:51,29318,2797,34328,11550,293,1445,78,11151,4802
